Staten Island Rolling Sales File.  All Sales From February 2016 - January 2017.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sales File as of 2/13/2017  Co-op Sales Files as of 2/11/2017,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neighborhood Names and Descriptive Data as of 5/26/2016,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Building Class Category is based on Building Class at Time of Sale.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BOROUGH, NEIGHBORHOOD , BUILDING CLASS CATEGORY , TAX CLASS AT PRESENT , BLOCK , LOT , EASE-MENT , BUILDING CLASS AT PRESENT , ADDRESS , APARTMENT NUMBER , ZIP CODE , RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET , YEAR BUILT , TAX CLASS AT TIME OF SALE , BUILDING CLASS AT TIME OF SALE , SALE PRICE , SALE DATE 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6261 , 11 ,   , A2 , 249 EDGEGROVE AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 720 , 1945 , 1 , A2 , 459000 , 42663 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6261 , 19 ,   , A0 , 230 IONIA AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 1600 , 1960 , 1 , A0 , 0 , 42710 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6268 , 5 ,   , A1 , 286 STAFFORD AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 2002 , 1970 , 1 , A1 , 700000 , 42684 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6268 , 68 ,   , A2 , 227 SINCLAIR AVENUE ,   , 10312 , 1 , 0 , 1 , 4200 , 1884 , 1965 , 1 , A2 , 630000 , 42591 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6268 , 68 ,   , A2 , 227 SINCLAIR AVENUE ,   , 10312 , 1 , 0 , 1 , 4200 , 1884 , 1965 , 1 , A2 , 375975 , 42466 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6270 , 43 ,   , A2 , 255 VINELAND AVENUE ,   , 10312 , 1 , 0 , 1 , 6000 , 2450 , 1975 , 1 , A2 , 700000 , 42451 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6271 , 28 ,   , A3 , 291 CROWN AVENUE ,   , 10312 , 1 , 0 , 1 , 12000 , 4040 , 1985 , 1 , A3 , 980000 , 42752 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6272 , 10 ,   , A1 , 30 CANTON AVENUE ,   , 10312 , 1 , 0 , 1 , 6084 , 2184 , 1975 , 1 , A1 , 730000 , 42583 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     ,   , 6272 , 28 ,   ,   , 11 HOLCOMB AVENUE ,   , 10312 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , A2 , 590000 , 42702 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6273 , 22 ,   , A1 , 16 HOLCOMB AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1690 , 1945 , 1 , A1 , 435000 , 42586 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6273 , 33 ,   , A3 , 345 CROWN AVENUE ,   , 10312 , 1 , 0 , 1 , 8900 , 2800 , 2015 , 1 , A3 , 495000 , 42705 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6278 , 1 ,   , A2 , 275 EDGEGROVE AVENUE ,   , 10312 , 1 , 0 , 1 , 4900 , 2558 , 1955 , 1 , A2 , 0 , 42402 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6278 , 88 ,   , A5 , 286 IONIA AVENUE ,   , 10312 , 1 , 0 , 1 , 3000 , 1080 , 1986 , 1 , A5 , 375000 , 42678 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6279 , 166 ,   , A1 , 164 NORTH RAILROAD ST ,   , 10312 , 1 , 0 , 1 , 4000 , 2138 , 1975 , 1 , A1 , 0 , 42641 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6280 , 20 ,   , A1 , 396 EDGEGROVE AVENUE ,   , 10312 , 1 , 0 , 1 , 8400 , 3600 , 1986 , 1 , A1 , 780000 , 42674 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6297 , 19 ,   , A1 , 442 LAMONT AVENUE ,   , 10312 , 1 , 0 , 1 , 8000 , 2148 , 1970 , 1 , A1 , 10 , 42579 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6298 , 32 ,   , A2 , 190 HEENAN AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1932 , 1975 , 1 , A2 , 0 , 42530 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6299 , 66 ,   , A2 , 131 RAMONA AVENUE ,   , 10312 , 1 , 0 , 1 , 6000 , 1949 , 1974 , 1 , A2 , 635000 , 42606 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6300 , 63 ,   , A1 , 441 RATHBUN AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 2083 , 1970 , 1 , A1 , 675000 , 42633 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6303 , 74 ,   , A2 , 131 DELMAR AVENUE ,   , 10312 , 1 , 0 , 1 , 4000 , 1512 , 1980 , 1 , A2 , 525000 , 42416 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6304 , 39 ,   , A0 , 32 HEENAN AVENUE ,   , 10312 , 1 , 0 , 1 , 6000 , 1461 , 1950 , 1 , A0 , 0 , 42475 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6305 , 79 ,   , A3 , 30 CROWN PLACE ,   , 10312 , 1 , 0 , 1 , 10296 , 4850 , 1984 , 1 , A3 , 0 , 42447 
