"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price.n","gross.sqft","land.sqft","years.built","cs.pricePERsqft"
"71",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6268,68,NA," A2 "," 227 SINCLAIR AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42591,630000,1884,4200,1965,334.394904458599
"72",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6268,68,NA," A2 "," 227 SINCLAIR AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42466,375975,1884,4200,1965,199.562101910828
"73",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6270,43,NA," A2 "," 255 VINELAND AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42451,700000,2450,6000,1975,285.714285714286
"74",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6271,28,NA," A3 "," 291 CROWN AVENUE ","   "," 10312 ",1,0,1,1," A3 ",42752,980000,4040,12000,1985,242.574257425743
"75",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6272,10,NA," A1 "," 30 CANTON AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42583,730000,2184,6084,1975,334.249084249084
"77",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6273,22,NA," A1 "," 16 HOLCOMB AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42586,435000,1690,4000,1945,257.396449704142
"78",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6273,33,NA," A3 "," 345 CROWN AVENUE ","   "," 10312 ",1,0,1,1," A3 ",42705,495000,2800,8900,2015,176.785714285714
"80",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6278,88,NA," A5 "," 286 IONIA AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42678,375000,1080,3000,1986,347.222222222222
"82",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6280,20,NA," A1 "," 396 EDGEGROVE AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42674,780000,3600,8400,1986,216.666666666667
"85",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6299,66,NA," A2 "," 131 RAMONA AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42606,635000,1949,6000,1974,325.808106721396
"86",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6300,63,NA," A1 "," 441 RATHBUN AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42633,675000,2083,4000,1970,324.051848295727
"87",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6303,74,NA," A2 "," 131 DELMAR AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42416,525000,1512,4000,1980,347.222222222222
"90",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6320,1,NA," A2 "," 184 ALBEE AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42636,662500,1332,8000,1965,497.372372372372
"92",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6320,20,NA," A2 "," 129 DOWNES AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42416,480000,1125,4000,1965,426.666666666667
"94",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6349,38,NA," A1 "," 115 BENNETT PLACE ","   "," 10312 ",1,0,1,1," A1 ",42622,1125000,5400,9960,1985,208.333333333333
"95",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6352,17,NA," A1 "," 472 HOLDRIDGE AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42682,800000,3178,6000,1985,251.730648206419
"96",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6354,36,NA," A2 "," 673 BARCLAY AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42534,439000,1120,4000,1930,391.964285714286
